strain	lineage_PANGOLIN	missing	coverage	gisaid	date	country	region	gender	age	lineage_GISAID	EPI
hCoV-19/USA/CA-CDPH-8000003247/2022	BA.5.1.25	607	0.976022472661606	gisaid	2022-07-21	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14720115
hCoV-19/USA/CA-CDPH-FS25388033/2022	BA.5.1.25	1259	0.943851787446076	gisaid	2022-08-04	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14927850
hCoV-19/USA/CA-CDPH-FS25389114/2022	BA.5.1.25	13	0.990803598301174	gisaid	2022-09-07	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15605649
hCoV-19/USA/CA-CDPH-FS25390623/2022	BA.5.1.25	0	0.993512356619737	gisaid	2022-08-27	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15077757
hCoV-19/USA/CA-CDPH-FS25390664/2022	BA.5.1.25	89	0.988262047286225	gisaid	2022-08-06	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14762142
hCoV-19/USA/CA-CDPH-FS25390704/2022	BA.5.1.25	410	0.9824097916597	gisaid	2022-08-04	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14927900
hCoV-19/USA/CA-CDPH-FS25392252/2022	BA.5.1.25	17	0.991505868976357	gisaid	2022-08-25	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14987253
hCoV-19/USA/CA-CDPH-FS25392264/2022	BA.5.1.25	28	0.990301976390329	gisaid	2022-08-25	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14987254
hCoV-19/USA/CA-CDPH-FS25392336/2022	BA.5.1.25	19	0.990602949536836	gisaid	2022-08-01	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14506291
hCoV-19/USA/CA-CDPH-FS25392438/2022	BA.5.1.25	13	0.990803598301174	gisaid	2022-09-07	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15605917
hCoV-19/USA/CA-CDPH-FS27413344/2022	BA.5.1.25	360	0.98608835233923	gisaid	2022-06-25	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_13784407
hCoV-19/USA/CA-CDPH-FS27887257/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-09-14	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15606081
hCoV-19/USA/CA-CDPH-FS27887360/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-08-14	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14875466
hCoV-19/USA/CA-CDPH-FS27887641/2022	BA.5.1.25	363	0.979099087048122	gisaid	2022-09-03	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15606146
hCoV-19/USA/CA-CDPH-FS27887787/2022	BA.5.1.25	0	0.993412032237568	gisaid	2022-09-11	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15606170
hCoV-19/USA/CA-CDPH-FS27887809/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-08-26	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14987408
hCoV-19/USA/CA-CDPH-FS27887819/2022	BA.5.1.25	0	0.996254556399023	gisaid	2022-08-22	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15626121
hCoV-19/USA/CA-CDPH-FS27888302/2022	BA.5.1.25	483	0.975086111761362	gisaid	2022-09-11	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15606227
hCoV-19/USA/CA-CDPH-FS27888454/2022	BA.5.1.25	0	0.991907166505033	gisaid	2022-09-03	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15606238
hCoV-19/USA/CA-CDPH-FS27888587/2022	BA.5.1.25	190	0.984884459753202	gisaid	2022-09-30	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15604202
hCoV-19/USA/CA-CDPH-FS27889226/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-08-31	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15181243
hCoV-19/USA/CA-CDPH-FS27889254/2022	BA.5.1.25	755	0.965956592983982	gisaid	2022-09-01	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15077631
hCoV-19/USA/CA-CDPH-FS27889263/2022	BA.5.1.25	40	0.991673076279972	gisaid	2022-08-30	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15181245
hCoV-19/USA/CA-CDPH-FS27889413/2022	BA.5.1.25	128	0.987626659532488	gisaid	2022-09-01	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15077624
hCoV-19/USA/CA-CDPH-FS27889457/2022	BA.5.1.25	449	0.976223121425944	gisaid	2022-08-12	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14762154
hCoV-19/USA/CA-CDPH-FS27889569/2022	BA.5.1.25	0	0.997291241681437	gisaid	2022-08-14	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15626208
hCoV-19/USA/CA-CDPH-FS27889688/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-08-13	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14875518
hCoV-19/USA/CA-CDPH-FS27889761/2022	BA.5.1.25	46	0.994248068755643	gisaid	2022-08-10	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15596554
hCoV-19/USA/CA-CDPH-FS27890161/2022	BA.5.1.25	0	0.997190917299268	gisaid	2022-08-06	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14927983
hCoV-19/USA/CA-CDPH-FS27890176/2022	BA.5.1.25	99	0.992475671337324	gisaid	2022-08-05	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14927989
hCoV-19/USA/CA-CDPH-FS27890226/2022	BA.5.1.25	0	0.991271778751296	gisaid	2022-10-01	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15603953
hCoV-19/USA/CA-CDPH-FS27890251/2022	BA.5.1.25	72	0.988830552118517	gisaid	2022-08-11	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14762112
hCoV-19/USA/CA-CDPH-FS27891036/2022	BA.5.1.25	41	0.98986723740093	gisaid	2022-10-04	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15604160
hCoV-19/USA/CA-CDPH-FS27891055/2022	BA.5.1.25	44	0.989766913018761	gisaid	2022-09-26	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15606720
hCoV-19/USA/CA-CDPH-FS27891059/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-09-15	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15606723
hCoV-19/USA/CA-CDPH-FS47233887/2022	BA.5.1.25	217	0.983981540313681	gisaid	2022-08-28	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15607616
hCoV-19/USA/CA-CDPH-FS48073845/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-08-29	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15077577
hCoV-19/USA/CA-CDPH-FS48074165/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-11-08	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15881133
hCoV-19/USA/CA-CDPH-FS48075549/2022	BA.5.1.25	0	0.991907166505033	gisaid	2022-09-06	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15606974
hCoV-19/USA/CA-CDPH-FS48075557/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-09-12	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15606976
hCoV-19/USA/CA-CDPH-FS48075894/2022	BA.5.1.25	58	0.990770156840451	gisaid	2022-08-01	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14506297
hCoV-19/USA/CA-CDPH-FS48075899/2022	BA.5.1.25	500	0.969200414674113	gisaid	2022-08-05	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14928030
hCoV-19/USA/CA-CDPH-FS48075900/2022	BA.5.1.25	440	0.971240343778216	gisaid	2022-08-05	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14928031
hCoV-19/USA/CA-CDPH-FS48076032/2022	BA.5.1.25	0	0.99120489582985	gisaid	2022-09-04	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15607040
hCoV-19/USA/CA-CDPH-FS48076066/2022	BA.5.1.25	0	0.992174698190817	gisaid	2022-09-04	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15607044
hCoV-19/USA/CA-CDPH-FS48076067/2022	BA.5.1.25	27	0.990335417851052	gisaid	2022-09-24	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15604059
hCoV-19/USA/CA-CDPH-FS48076088/2022	BA.5.1.25	37	0.990001003243822	gisaid	2022-09-24	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15604060
hCoV-19/USA/CA-CDPH-FS48077186/2022	BA.5.1.25	0	0.992776644483831	gisaid	2022-08-26	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14987313
hCoV-19/USA/CA-CDPH-FS48077614/2022	BA.5.1.25	1511	0.940708290138113	gisaid	2022-10-28	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15819170
hCoV-19/USA/CA-CDPH-FS48080768/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-10-23	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15819392
hCoV-19/USA/CA-CDPH-FS48083089/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-09-19	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15607327
hCoV-19/USA/CA-CDPH-FS48099092/2022	BA.5.1.25	150	0.986222118182122	gisaid	2022-10-03	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15603921
hCoV-19/USA/CA-CDPH-FS48099108/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-09-29	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15603923
hCoV-19/USA/CA-CDPH-FS48099136/2022	BA.5.1.25	0	0.996856502692038	gisaid	2022-08-18	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15626401
hCoV-19/USA/CA-CDPH-FS48099196/2022	BA.5.1.25	6	0.991037688526235	gisaid	2022-09-14	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15604090
hCoV-19/USA/CA-CDPH-FS48099208/2022	BA.5.1.25	13	0.990803598301174	gisaid	2022-09-06	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15607361
hCoV-19/USA/CA-CDPH-FS48099238/2022	BA.5.1.25	289	0.981573755141625	gisaid	2022-08-16	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14875628
hCoV-19/USA/CA-CDPH-FS48099376/2022	BA.5.1.25	2207	0.923452496405043	gisaid	2022-08-08	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15596710
hCoV-19/USA/CA-CDPH-FS48099388/2022	BA.5.1.25	0	0.992141256730094	gisaid	2022-08-17	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15077498
hCoV-19/USA/CA-CDPH-FS48099424/2022	BA.5.1.25	221	0.989031200882855	gisaid	2022-08-18	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15626413
hCoV-19/USA/CA-CDPH-FS48099454/2022	BA.5.1.25	597	0.971240343778216	gisaid	2022-08-03	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14616367
hCoV-19/USA/CA-CDPH-FS48099908/2022	BA.5.1.25	394	0.978062401765709	gisaid	2022-07-12	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14083898
hCoV-19/USA/CA-CDPH-FS48099914/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-07-12	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14083900
hCoV-19/USA/CA-CDPH-FS48101248/2022	BA.5.1.25	72	0.988830552118517	gisaid	2022-08-27	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15077480
hCoV-19/USA/CA-CDPH-FS48101475/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-09-12	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15607479
hCoV-19/USA/CA-CDPH-FS48101481/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-09-11	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15607482
hCoV-19/USA/CA-CDPH-FS48101836/2022	BA.5.1.25	164	0.991974049426479	gisaid	2022-07-09	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14222680
hCoV-19/USA/CA-CDPH-FS48101901_1/2022	BA.5.1.25	526	0.973648128950273	gisaid	2022-07-09	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14222692
hCoV-19/USA/CA-CDPH-FS48101934/2022	BA.5.1.25	355	0.979333177273183	gisaid	2022-07-14	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14506261
hCoV-19/USA/CA-CDPH-FS48102113/2022	BA.5.1.25	0	0.991238337290573	gisaid	2022-08-31	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15181435
hCoV-19/USA/CA-CDPH-FS48102693/2022	BA.5.1.25	343	0.979767916262582	gisaid	2022-07-19	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14222721
hCoV-19/USA/CA-CDPH-VDKECPRSV8WVE/2022	BA.5.1.25	1886	0.922315486740461	gisaid	2022-08-02	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14506415
hCoV-19/USA/CA-Curative-497572/2022	BA.5.1.25	2146	0.915459987292245	gisaid	2022-08-01	USA	California	Male	34	BA.5.1.25	EPI_ISL_14316685
hCoV-19/USA/CA-Curative-506774/2022	BA.5.1.25	1102	0.954017991505869	gisaid	2022-09-04	USA	California	Female	5	BA.5.1.25	EPI_ISL_14944212
hCoV-19/USA/CA-Curative-R418398/2022	BA.5.1.25	1042	0.957094605892385	gisaid	2022-08-12	USA	California	Male	57	BA.5.1.25	EPI_ISL_14597856
hCoV-19/USA/CA-FG-288875/2022	BA.5.1.25	3	0.99732468314216	gisaid	2022-07-10	USA	California	Female	34	BA.5.1.25	EPI_ISL_13961966
hCoV-19/USA/CA-FG-289073/2022	BA.5.1.25	3	0.997291241681437	gisaid	2022-07-09	USA	California	Female	82	BA.5.1.25	EPI_ISL_13982861
hCoV-19/USA/CA-FG-289211/2022	BA.5.1.25	3	0.997291241681437	gisaid	2022-07-09	USA	California	Male	29	BA.5.1.25	EPI_ISL_13982860
hCoV-19/USA/CA-FG-289498/2022	BA.5.1.25	548	0.978664348058723	gisaid	2022-07-16	USA	California	Male	46	BA.5.1.25	EPI_ISL_14107392
hCoV-19/USA/CA-FG-289885/2022	BA.5.1.25	157	0.991739959201418	gisaid	2022-07-22	USA	California	Male	23	BA.5.1.25	EPI_ISL_14447342
hCoV-19/USA/CA-FG-290019/2022	BA.5.1.25	3	0.997291241681437	gisaid	2022-07-22	USA	California	Female	23	BA.5.1.25	EPI_ISL_14447259
hCoV-19/USA/CA-FG-290058/2022	BA.5.1.25	970	0.964552051633615	gisaid	2022-07-22	USA	California	Female	<1	BA.5.1.25	EPI_ISL_14447527
hCoV-19/USA/CA-FG-290252/2022	BA.5.1.25	3	0.996889944152761	gisaid	2022-07-22	USA	California	Female	31	BA.5.1.25	EPI_ISL_14447618
hCoV-19/USA/CA-FG-290341/2022	BA.5.1.25	197	0.990268534929606	gisaid	2022-07-26	USA	California	unknown	51	BA.5.1.25	EPI_ISL_14447807
hCoV-19/USA/CA-FG-290586/2022	BA.5.1.25	233	0.98919840818647	gisaid	2022-07-27	USA	California	Male	8	BA.5.1.25	EPI_ISL_14448035
hCoV-19/USA/CA-FG-290969/2022	BA.5.1.25	96	0.993779888305521	gisaid	2022-07-30	USA	California	Male	2	BA.5.1.25	EPI_ISL_14465459
hCoV-19/USA/CA-FG-291052/2022	BA.5.1.25	3	0.996889944152761	gisaid	2022-07-30	USA	California	Female	32	BA.5.1.25	EPI_ISL_14465594
hCoV-19/USA/CA-FG-291345/2022	BA.5.1.25	3	0.997291241681437	gisaid	2022-08-01	USA	California	Female	33	BA.5.1.25	EPI_ISL_14465566
hCoV-19/USA/CA-FG-291348/2022	BA.5.1.25	3	0.996889944152761	gisaid	2022-08-04	USA	California	Female	10	BA.5.1.25	EPI_ISL_14465788
hCoV-19/USA/CA-FG-291644/2022	BA.5.1.25	340	0.985620171889108	gisaid	2022-08-09	USA	California	Female	13	BA.5.1.25	EPI_ISL_14610891
hCoV-19/USA/CA-FG-291938/2022	BA.5.1.25	3	0.996889944152761	gisaid	2022-08-10	USA	California	Male	55	BA.5.1.25	EPI_ISL_14611907
hCoV-19/USA/CA-FG-292915/2022	BA.5.1.25	3	0.998394809885296	gisaid	2022-08-21	USA	California	Male	22	BA.5.1.25	EPI_ISL_14867967
hCoV-19/USA/CA-FG-292949/2022	BA.5.1.25	3	0.996889944152761	gisaid	2022-08-20	USA	California	Male	1	BA.5.1.25	EPI_ISL_14868115
hCoV-19/USA/CA-FG-292954/2022	BA.5.1.25	591	0.977226365247634	gisaid	2022-08-19	USA	California	Female	11	BA.5.1.25	EPI_ISL_14868158
hCoV-19/USA/CA-FG-292998/2022	BA.5.1.25	185	0.990803598301174	gisaid	2022-08-19	USA	California	Male	3	BA.5.1.25	EPI_ISL_14868162
hCoV-19/USA/CA-FG-293267/2022	BA.5.1.25	3	0.998394809885296	gisaid	2022-08-20	USA	California	Male	66	BA.5.1.25	EPI_ISL_14868136
hCoV-19/USA/CA-FG-293268/2022	BA.5.1.25	3	0.997291241681437	gisaid	2022-08-23	USA	California	Female	30	BA.5.1.25	EPI_ISL_14869108
hCoV-19/USA/CA-FG-293328/2022	BA.5.1.25	160	0.991639634819249	gisaid	2022-08-30	USA	California	Male	45	BA.5.1.25	EPI_ISL_14962822
hCoV-19/USA/CA-FG-293550/2022	BA.5.1.25	1114	0.951710530715982	gisaid	2022-08-27	USA	California	Male	16	BA.5.1.25	EPI_ISL_14963043
hCoV-19/USA/CA-FG-293679/2022	BA.5.1.25	3	0.996889944152761	gisaid	2022-08-27	USA	California	Female	21	BA.5.1.25	EPI_ISL_14963047
hCoV-19/USA/CA-FG-293721/2022	BA.5.1.25	3	0.998194161120958	gisaid	2022-08-31	USA	California	Male	42	BA.5.1.25	EPI_ISL_14963183
hCoV-19/USA/CA-FG-293748/2022	BA.5.1.25	3	0.996889944152761	gisaid	2022-08-30	USA	California	Male	18	BA.5.1.25	EPI_ISL_14963212
hCoV-19/USA/CA-FG-294121/2022	BA.5.1.25	3	0.996889944152761	gisaid	2022-09-07	USA	California	Female	25	BA.5.1.25	EPI_ISL_15062926
hCoV-19/USA/CA-FG-294346/2022	BA.5.1.25	3	0.997257800220714	gisaid	2022-09-06	USA	California	Male	34	BA.5.1.25	EPI_ISL_15062964
hCoV-19/USA/CA-FG-296171/2022	BA.5.1.25	868	0.967963080627362	gisaid	2022-09-29	USA	California	Male	45	BA.5.1.25	EPI_ISL_15324974
hCoV-19/USA/CA-FG-296211/2022	BA.5.1.25	3	0.996889944152761	gisaid	2022-09-29	USA	California	Female	9	BA.5.1.25	EPI_ISL_15324930
hCoV-19/USA/CA-GBW-VWPOAAAB838652/2022	BA.5.1.25	1350	0.950774169815738	gisaid	2022-07-25	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14277966
hCoV-19/USA/CA-GBW-VWPOAAAZ016022/2022	BA.5.1.25	1011	0.952780657459118	gisaid	2022-09-05	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15017959
hCoV-19/USA/CA-HLX-STM-22EYW23C4/2022	BA.5.1.25	0	1	gisaid	2022-07-21	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14374718
hCoV-19/USA/CA-HLX-STM-24U5P5BF3/2022	BA.5.1.25	0	1	gisaid	2022-07-30	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14529391
hCoV-19/USA/CA-HLX-STM-29Q8Q879D/2022	BA.5.1.25	44	0.997157475838545	gisaid	2022-09-07	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15257063
hCoV-19/USA/CA-HLX-STM-2AVNSE6DD/2022	BA.5.1.25	0	0.999699026853493	gisaid	2022-07-05	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_13979274
hCoV-19/USA/CA-HLX-STM-2JXQNVR7N/2022	BA.5.1.25	3	0.999832792696385	gisaid	2022-07-10	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14903172
hCoV-19/USA/CA-HLX-STM-2N9ZAGJQB/2022	BA.5.1.25	0	0.998695783031803	gisaid	2022-09-14	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15275484
hCoV-19/USA/CA-HLX-STM-2QER544G9/2022	BA.5.1.25	8	0.998361368424573	gisaid	2022-09-01	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15163222
hCoV-19/USA/CA-HLX-STM-2SMZN4YD2/2022	BA.5.1.25	5	0.999765909774939	gisaid	2022-08-11	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14802193
hCoV-19/USA/CA-HLX-STM-2TQYNBCVV/2022	BA.5.1.25	2	0.998896431796141	gisaid	2022-08-30	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15164162
hCoV-19/USA/CA-HLX-STM-2U5S2EBAK/2022	BA.5.1.25	548	0.977794870079925	gisaid	2022-07-27	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14531136
hCoV-19/USA/CA-HLX-STM-2W8J62RY6/2022	BA.5.1.25	0	1	gisaid	2022-07-05	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14059702
hCoV-19/USA/CA-HLX-STM-333FX7NRQ/2022	BA.5.1.25	0	0.99866234157108	gisaid	2022-08-18	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14902577
hCoV-19/USA/CA-HLX-STM-35K86SK7P/2022	BA.5.1.25	0	1	gisaid	2022-07-29	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14627005
hCoV-19/USA/CA-HLX-STM-35XCRUFFJ/2022	BA.5.1.25	0	1	gisaid	2022-06-15	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_13586579
hCoV-19/USA/CA-HLX-STM-3QCXQ7MG5/2022	BA.5.1.25	522	0.98030297963415	gisaid	2022-07-15	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14376790
hCoV-19/USA/CA-HLX-STM-3RJSUTTZ4/2022	BA.5.1.25	14	0.998093836738789	gisaid	2022-08-06	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14802231
hCoV-19/USA/CA-HLX-STM-3RY7H8KKC/2022	BA.5.1.25	1	0.999899675617831	gisaid	2022-08-01	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14628324
hCoV-19/USA/CA-HLX-STM-3TKBK6GDJ/2022	BA.5.1.25	2	0.999799351235662	gisaid	2022-07-31	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14530285
hCoV-19/USA/CA-HLX-STM-3UA8WHHMZ/2022	BA.5.1.25	1	0.998695783031803	gisaid	2022-08-30	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15164072
hCoV-19/USA/CA-HLX-STM-3VEZ8V6CU/2022	BA.5.1.25	3	0.998829548874695	gisaid	2022-07-18	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14374371
hCoV-19/USA/CA-HLX-STM-42EV8YHBS/2022	BA.5.1.25	199	0.991104571447681	gisaid	2022-07-20	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14375331
hCoV-19/USA/CA-HLX-STM-48ZSM88XU/2022	BA.5.1.25	2	0.998495134267465	gisaid	2022-07-06	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_13980025
hCoV-19/USA/CA-HLX-STM-494G4HBFF/2022	BA.5.1.25	0	1	gisaid	2022-09-29	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_15461839
hCoV-19/USA/CA-HLX-STM-4E6K5PXJ7/2022	BA.5.1.25	0	0.998628900110357	gisaid	2022-07-28	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14530248
hCoV-19/USA/CA-HLX-STM-4FB5NEPDD/2022	BA.5.1.25	150	0.993412032237568	gisaid	2022-07-27	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14530142
hCoV-19/USA/CA-HLX-STM-4GCMD489T/2022	BA.5.1.25	3	0.998628900110357	gisaid	2022-07-24	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14529882
hCoV-19/USA/CA-HLX-STM-4P3XP99XH/2022	BA.5.1	2218	0.923586262247935	gisaid	2022-08-18	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14902250
hCoV-19/USA/CA-HLX-STM-4VBMNTGPZ/2022	BA.5.1.25	0	1	gisaid	2022-07-05	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14058591
hCoV-19/USA/CA-HLX-STM-53Q3RW2Q5/2022	BA.5.1.25	0	1	gisaid	2022-07-05	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_13979928
hCoV-19/USA/CA-HLX-STM-57D2V9GV8/2022	BA.5.1.25	3	0.998562017188911	gisaid	2022-07-20	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14377000
hCoV-19/USA/CA-HLX-STM-5BK5Q9RFT/2022	BA.5.1.25	117	0.994080861452028	gisaid	2022-08-12	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14802140
hCoV-19/USA/CA-HLX-STM-5CSCTRWJT/2022	BA.5.1.25	0	0.999063639099756	gisaid	2022-07-22	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14530936
hCoV-19/USA/CA-HLX-STM-5H5JUAJT2/2022	BA.5.1.25	1074	0.961843293315052	gisaid	2022-07-21	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14530762
hCoV-19/USA/CA-HLX-STM-5HUK33UE9/2022	BA.5.1.25	191	0.992174698190817	gisaid	2022-07-08	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14220699
hCoV-19/USA/CA-HLX-STM-5RWXZA6NK/2022	BA.5.1	1375	0.951777413637428	gisaid	2022-07-30	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14529353
hCoV-19/USA/CA-HLX-STM-5U59N8CZ7/2022	BA.5.1.25	0	1	gisaid	2022-08-04	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14626216
hCoV-19/USA/CA-HLX-STM-5Y2M447QQ/2022	BA.5.1.25	0	1	gisaid	2022-07-29	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14530729
hCoV-19/USA/CA-HLX-STM-66JJ5Q2W7/2022	BA.5.1.25	1304	0.954151757348761	gisaid	2022-07-28	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14529381
hCoV-19/USA/CA-HLX-STM-69JF4MVKX/2022	BA.5.1.25	2	0.998495134267465	gisaid	2022-07-22	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14530634
hCoV-19/USA/CA-HLX-STM-6D8AURP5T/2022	BA.5.1.25	0	1	gisaid	2022-07-20	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14375753
hCoV-19/USA/CA-HLX-STM-6DXKCPA69/2022	BA.5.1.25	1	0.999899675617831	gisaid	2022-07-16	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14375836
hCoV-19/USA/CA-HLX-STM-6EAHUA57C/2022	BA.5.1.25	0	1	gisaid	2022-07-25	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14530921
hCoV-19/USA/CA-HLX-STM-6MD9KSMJH/2022	BA.5.1.25	0	0.999933117078554	gisaid	2022-07-04	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14058283
hCoV-19/USA/CA-HLX-STM-6NGDSGS66/2022	BA.5.1.25	0	0.99866234157108	gisaid	2022-07-18	USA	California	unknown	unknown	BA.5.1.25	EPI_ISL_14375623
